,D0,D1,D2,D3,D4,D5,D6,D7,artemia,,,,artemia check - large sample 
wavelength,abs,abs,abs,abs,abs,abs,abs,abs,abs,,,,abs
280,0.023,-0.035,-0.006,0,0.002,,, ,,,,,-0.015
281,0.025,-0.025,-0.014,-0.008,0,,, ,,,,,-0.025
282,0.012,-0.03,-0.013,-0.011,-0.002,,, ,,,,,-0.023
283,0.016,-0.029,-0.008,-0.008,-0.007,,, ,,,,,-0.018
284,0.017,-0.029,-0.015,-0.014,0.002,,, ,,,,,-0.015
285,0.012,-0.034,-0.017,-0.003,0.003,,, ,,,,,-0.027
286,0.016,-0.035,-0.008,-0.006,-0.013,,, ,,,,,-0.013
287,0.005,-0.035,-0.012,-0.013,-0.001,,, ,,,,,-0.021
288,0.012,-0.028,-0.014,-0.011,-0.009,,, ,,,,,-0.019
289,0.013,-0.028,-0.008,-0.012,0.004,,, ,,,,,-0.018
290,0.016,-0.029,-0.009,-0.01,-0.006,,, ,,,,,-0.012
291,0.016,-0.032,-0.015,-0.014,0.001,,, ,,,,,-0.015
292,0.018,-0.03,-0.013,-0.009,-0.004,,, ,,,,,-0.017
293,0.018,-0.03,-0.012,-0.005,-0.006,,, ,,,,,-0.018
294,0.019,-0.033,-0.016,-0.008,-0.003,,, ,,,,,-0.018
295,0.017,-0.028,-0.019,-0.008,-0.002,,, ,,,,,-0.016
296,0.017,-0.032,-0.018,-0.006,0.002,,, ,,,,,-0.017
297,0.014,-0.029,-0.015,-0.012,-0.004,,, ,,,,,-0.02
298,0.012,-0.035,-0.008,-0.011,-0.002,,, ,,,,,-0.02
299,0.018,-0.035,-0.014,-0.011,0.001,,, ,,,,,-0.016
300,0.014,-0.035,-0.017,-0.017,-0.007,,, ,,,,,-0.018
301,0.012,-0.033,-0.012,-0.005,0.004,,, ,,,,,-0.012
302,0.01,-0.029,-0.017,-0.008,0,,, ,,,,,-0.016
303,0.011,-0.033,-0.012,-0.003,-0.006,,, ,,,,,-0.015
304,0.017,-0.028,-0.013,-0.005,-0.006,,, ,,,,,-0.012
305,0.02,-0.031,-0.008,-0.012,-0.007,,, ,,,,,-0.012
306,0.017,-0.027,-0.012,-0.009,0.001,,, ,,,,,-0.025
307,0.016,-0.031,-0.007,-0.004,-0.001,,, ,,,,,-0.017
308,0.014,-0.026,-0.008,-0.011,-0.001,,, ,,,,,-0.021
309,0.018,-0.027,-0.015,-0.004,-0.003,,, ,,,,,-0.018
310,0.011,-0.03,-0.014,-0.005,0,,, ,,,,,-0.022
311,0.013,-0.033,-0.016,-0.003,0,,, ,,,,,-0.023
312,0.016,-0.029,-0.018,-0.002,-0.003,,, ,,,,,-0.024
313,0.014,-0.029,-0.01,0.001,-0.004,,, ,,,,,-0.021
314,0.019,-0.029,-0.015,-0.004,0,,, ,,,,,-0.021
315,0.012,-0.029,-0.012,-0.003,-0.006,,, ,,,,,-0.022
316,0.016,-0.031,-0.013,-0.003,-0.004,,, ,,,,,-0.026
317,0.02,-0.03,-0.01,-0.007,-0.008,,, ,,,,,-0.021
318,0.01,-0.028,-0.012,-0.004,-0.008,,, ,,,,,-0.025
319,0.014,-0.03,-0.016,-0.004,-0.006,,, ,,,,,-0.025
320,0.014,-0.021,-0.034,-0.005,-0.005,,, ,,,,,-0.047
321,0.014,0.01,-0.104,-0.01,-0.017,,, ,,,,,-0.12
322,0.017,0.104,-0.256,-0.031,-0.067,,, ,,,,,-0.288
323,0.021,0.204,-0.376,-0.062,-0.153,,, ,,,,,-0.416
324,0.026,0.237,-0.379,-0.075,-0.218,,, ,,,,,-0.408
325,0.03,0.218,-0.333,-0.07,-0.22,,, ,,,,,-0.351
326,0.033,0.184,-0.275,-0.059,-0.191,,, ,,,,,-0.282
327,0.036,0.151,-0.222,-0.047,-0.157,,, ,,,,,-0.22
328,0.037,0.123,-0.177,-0.037,-0.124,,, ,,,,,-0.165
329,0.038,0.1,-0.141,-0.028,-0.098,,, ,,,,,-0.122
330,0.039,0.081,-0.112,-0.021,-0.076,-0.14,0.027,0.063,-0.108,,,,-0.088
331,0.039,0.067,-0.089,-0.016,-0.059,-0.113,0.023,0.053,-0.087,,,,-0.061
332,0.039,0.055,-0.071,-0.012,-0.044,-0.086,0.02,0.043,-0.066,,,,-0.039
333,0.039,0.044,-0.056,-0.008,-0.033,-0.064,0.017,0.035,-0.049,,,,-0.021
334,0.039,0.036,-0.043,-0.006,-0.023,-0.048,0.014,0.029,-0.036,,,,-0.006
335,0.038,0.03,-0.033,-0.003,-0.016,-0.035,0.012,0.024,-0.025,,,,0.006
336,0.038,0.025,-0.025,-0.001,-0.01,-0.025,0.01,0.02,-0.017,,,,0.015
337,0.038,0.021,-0.019,0,-0.005,-0.017,0.008,0.017,-0.011,,,,0.022
338,0.037,0.018,-0.014,0.002,-0.002,-0.011,0.007,0.015,-0.006,,,,0.028
339,0.037,0.016,-0.01,0.002,0.001,-0.006,0.006,0.013,-0.003,,,,0.033
340,0.037,0.014,-0.008,0.003,0.003,-0.002,0.006,0.011,0.001,,,,0.036
341,0.037,0.013,-0.006,0.004,0.005,0.001,0.005,0.01,0.003,,,,0.039
342,0.037,0.012,-0.005,0.004,0.006,0.003,0.005,0.009,0.005,,,,0.04
343,0.037,0.011,-0.004,0.005,0.007,0.005,0.005,0.008,0.006,,,,0.041
344,0.037,0.011,-0.003,0.005,0.008,0.006,0.005,0.008,0.007,,,,0.042
345,0.037,0.01,-0.003,0.005,0.008,0.007,0.005,0.007,0.008,,,,0.043
346,0.037,0.01,-0.002,0.005,0.009,0.007,0.004,0.007,0.009,,,,0.044
347,0.037,0.01,-0.002,0.005,0.009,0.007,0.004,0.007,0.009,,,,0.044
348,0.037,0.01,-0.002,0.005,0.009,0.007,0.004,0.006,0.009,,,,0.045
349,0.037,0.01,-0.002,0.005,0.009,0.007,0.004,0.006,0.009,,,,0.045
350,0.037,0.01,-0.002,0.005,0.01,0.006,0.004,0.006,0.008,,,,0.045
351,0.037,0.01,-0.002,0.005,0.009,0.006,0.004,0.006,0.008,,,,0.046
352,0.037,0.01,-0.001,0.005,0.01,0.006,0.004,0.006,0.009,,,,0.046
353,0.037,0.01,-0.001,0.004,0.01,0.007,0.003,0.005,0.01,,,,0.046
354,0.037,0.01,-0.001,0.004,0.01,0.007,0.003,0.005,0.01,,,,0.047
355,0.037,0.01,-0.001,0.004,0.01,0.007,0.003,0.005,0.01,,,,0.047
356,0.037,0.01,-0.001,0.004,0.01,0.006,0.003,0.005,0.009,,,,0.048
357,0.037,0.01,-0.001,0.004,0.01,0.006,0.003,0.006,0.009,,,,0.048
358,0.037,0.01,-0.001,0.004,0.01,0.006,0.003,0.006,0.009,,,,0.048
359,0.036,0.01,-0.001,0.004,0.01,0.007,0.003,0.006,0.01,,,,0.049
360,0.036,0.01,-0.001,0.004,0.01,0.006,0.003,0.006,0.009,,,,0.049
361,0.036,0.01,-0.001,0.004,0.01,0.006,0.004,0.005,0.009,,,,0.049
362,0.035,0.01,-0.001,0.004,0.01,0.006,0.004,0.005,0.009,,,,0.05
363,0.035,0.009,0,0.004,0.01,0.006,0.004,0.005,0.009,,,,0.05
364,0.034,0.009,0,0.004,0.009,0.006,0.004,0.005,0.009,,,,0.05
365,0.033,0.009,-0.001,0.004,0.009,0.006,0.004,0.005,0.009,,,,0.05
366,0.033,0.009,-0.001,0.004,0.009,0.005,0.004,0.005,0.008,,,,0.051
367,0.032,0.009,-0.001,0.004,0.01,0.005,0.004,0.006,0.008,,,,0.051
368,0.031,0.009,-0.001,0.004,0.01,0.004,0.004,0.005,0.008,,,,0.051
369,0.031,0.009,-0.001,0.004,0.01,0.004,0.004,0.005,0.008,,,,0.052
370,0.03,0.009,0,0.003,0.01,0.004,0.004,0.005,0.008,,,,0.052
371,0.029,0.009,0,0.004,0.01,0.003,0.004,0.005,0.008,,,,0.052
372,0.028,0.009,0,0.003,0.01,0.004,0.004,0.005,0.009,,,,0.052
373,0.028,0.009,0.001,0.003,0.01,0.004,0.004,0.004,0.009,,,,0.053
374,0.028,0.009,0.001,0.003,0.01,0.004,0.004,0.004,0.009,,,,0.053
375,0.027,0.009,0.001,0.003,0.01,0.004,0.004,0.004,0.008,,,,0.053
376,0.026,0.009,0.001,0.003,0.01,0.004,0.004,0.004,0.008,,,,0.053
377,0.026,0.009,0.001,0.003,0.01,0.004,0.004,0.004,0.007,,,,0.053
378,0.026,0.01,0.001,0.003,0.01,0.004,0.004,0.005,0.007,,,,0.053
379,0.025,0.01,0.001,0.003,0.01,0.004,0.003,0.005,0.007,,,,0.053
380,0.024,0.01,0.001,0.003,0.01,0.004,0.003,0.005,0.007,,,,0.053
381,0.023,0.01,0.001,0.003,0.01,0.004,0.003,0.005,0.009,,,,0.053
382,0.022,0.01,0.001,0.003,0.01,0.004,0.003,0.005,0.009,,,,0.053
383,0.021,0.009,0.001,0.003,0.01,0.004,0.003,0.005,0.009,,,,0.053
384,0.02,0.009,0.001,0.003,0.01,0.003,0.003,0.005,0.009,,,,0.053
385,0.018,0.009,0.001,0.003,0.01,0.003,0.004,0.005,0.008,,,,0.053
386,0.017,0.009,0.001,0.003,0.01,0.003,0.004,0.005,0.008,,,,0.053
387,0.016,0.008,0.001,0.003,0.01,0.003,0.004,0.005,0.009,,,,0.053
388,0.015,0.008,0,0.002,0.01,0.003,0.004,0.005,0.009,,,,0.053
389,0.014,0.008,0,0.002,0.01,0.003,0.003,0.005,0.008,,,,0.053
390,0.014,0.008,0,0.002,0.01,0.002,0.003,0.005,0.008,,,,0.054
391,0.013,0.008,0,0.002,0.01,0.002,0.003,0.005,0.008,,,,0.054
392,0.013,0.007,0,0.002,0.01,0.002,0.003,0.005,0.008,,,,0.055
393,0.012,0.008,0,0.002,0.01,0.002,0.004,0.005,0.008,,,,0.055
394,0.012,0.008,0,0.002,0.01,0.002,0.004,0.005,0.008,,,,0.056
395,0.012,0.008,0,0.002,0.01,0.002,0.004,0.005,0.008,,,,0.056
396,0.012,0.008,0,0.002,0.01,0.002,0.004,0.005,0.008,,,,0.057
397,0.011,0.008,0,0.002,0.01,0.002,0.003,0.005,0.007,,,,0.058
398,0.011,0.007,0,0.002,0.01,0.001,0.003,0.005,0.007,,,,0.058
399,0.012,0.007,0,0.002,0.01,0.001,0.003,0.005,0.007,,,,0.059
400,0.012,0.007,0,0.003,0.01,0.001,0.003,0.004,0.007,,,,0.06
401,0.012,0.007,0.001,0.003,0.01,0.002,0.003,0.005,0.008,,,,0.061
402,0.011,0.007,0.001,0.002,0.01,0.002,0.003,0.005,0.009,,,,0.062
403,0.011,0.008,0.001,0.002,0.01,0.003,0.003,0.005,0.01,,,,0.063
404,0.012,0.008,0.001,0.002,0.01,0.003,0.003,0.006,0.009,,,,0.064
405,0.011,0.008,0.001,0.002,0.01,0.002,0.003,0.006,0.009,,,,0.065
406,0.011,0.008,0.001,0.002,0.01,0.001,0.003,0.006,0.008,,,,0.066
