,Chart 1,,,,,Additional Spectral Analyses,,,,,,,,,
,6.19.2019,6.24.2019,6.30.2019,,,6.19.2019,6.19.2019,6.19.2019,6.19.2019,6.24.2019,6.24.2019,6.24.2019,6.24.2019,6.34.2019,6.30.2019
,cannonballpigmenteddome,Polyps6.21.2019,ephyrae test 1,,,brine shrimp,cannonballtopdome,phytoplex,seppac phytoplex,phytoplex 6.21.2019,Sep-Pak filtered phytoplex 6.21.2109,Sep-Pak filtered phytoplex 6.21.2019 without H2O step,Sep-Pak filtered phytoplex 6.21.2019 5 mL H2O,Sep-Pak filtered phytoplex 6.21.2019 replicate,ephyrae test2
wavelength,abs,Abs,abs,,,abs,abs,abs,abs,Abs,Abs,Abs,Abs,Abs,abs
280,0.141,0.244,0.065,,,0.973,0.106,1.082,0.193,3.761,0.534,1.049,0.621,0.521,0.067
281,0.136,0.238,0.065,,,1,0.102,1.005,0.184,3.752,0.494,0.97,0.574,0.482,0.067
282,0.129,0.23,0.065,,,1.031,0.097,0.918,0.175,3.73,0.451,0.885,0.524,0.44,0.067
283,0.123,0.221,0.064,,,1.062,0.092,0.833,0.167,3.701,0.411,0.806,0.478,0.401,0.066
284,0.116,0.212,0.063,,,1.09,0.087,0.756,0.16,3.665,0.374,0.734,0.436,0.365,0.065
285,0.109,0.201,0.063,,,1.119,0.082,0.682,0.153,3.581,0.339,0.667,0.396,0.331,0.064
286,0.102,0.19,0.062,,,1.146,0.077,0.616,0.147,3.444,0.308,0.607,0.359,0.301,0.063
287,0.095,0.178,0.06,,,1.171,0.073,0.557,0.142,3.258,0.28,0.553,0.326,0.274,0.062
288,0.088,0.167,0.059,,,1.195,0.068,0.506,0.137,3.04,0.254,0.506,0.297,0.249,0.061
289,0.082,0.157,0.058,,,1.215,0.064,0.463,0.134,2.818,0.232,0.464,0.271,0.228,0.059
290,0.076,0.146,0.057,,,1.234,0.059,0.425,0.13,2.603,0.212,0.427,0.248,0.209,0.058
291,0.071,0.135,0.055,,,1.249,0.055,0.393,0.127,2.405,0.194,0.394,0.227,0.191,0.057
292,0.066,0.125,0.054,,,1.26,0.051,0.366,0.125,2.227,0.178,0.366,0.209,0.176,0.056
293,0.061,0.115,0.053,,,1.269,0.048,0.342,0.123,2.065,0.164,0.34,0.192,0.163,0.054
294,0.057,0.107,0.052,,,1.273,0.045,0.322,0.121,1.93,0.151,0.319,0.178,0.151,0.053
295,0.054,0.099,0.051,,,1.274,0.042,0.306,0.119,1.813,0.14,0.3,0.166,0.141,0.052
296,0.051,0.091,0.049,,,1.27,0.04,0.292,0.118,1.71,0.131,0.284,0.155,0.132,0.051
297,0.049,0.084,0.048,,,1.262,0.038,0.281,0.117,1.623,0.123,0.27,0.146,0.124,0.049
298,0.046,0.078,0.047,,,1.249,0.036,0.272,0.116,1.548,0.116,0.257,0.138,0.117,0.048
299,0.045,0.071,0.045,,,1.229,0.035,0.264,0.115,1.48,0.109,0.247,0.131,0.111,0.046
300,0.043,0.065,0.043,,,1.206,0.033,0.258,0.114,1.423,0.104,0.237,0.125,0.106,0.044
301,0.042,0.06,0.042,,,1.176,0.032,0.254,0.113,1.374,0.099,0.229,0.12,0.102,0.043
302,0.041,0.055,0.04,,,1.141,0.031,0.25,0.113,1.329,0.095,0.221,0.115,0.097,0.041
303,0.04,0.05,0.038,,,1.102,0.03,0.247,0.113,1.29,0.092,0.215,0.111,0.094,0.039
304,0.039,0.046,0.037,,,1.058,0.029,0.245,0.112,1.254,0.088,0.208,0.107,0.091,0.037
305,0.039,0.042,0.035,,,1.009,0.028,0.242,0.112,1.22,0.086,0.202,0.104,0.088,0.036
306,0.038,0.038,0.033,,,0.955,0.027,0.24,0.112,1.189,0.084,0.197,0.102,0.086,0.034
